"Participants","LinguisticStructure","Condition","ConditionEffectSize","StructureEffectScale"
20,0.09096,0.03792,0.1,0.15
20,0.00283,0.07225,0.1,0.15
20,0.23335,0.04675,0.1,0.15
20,0.04778,0.2433,0.1,0.15
20,0.13586,0.00176,0.1,0.15
20,0.22526,0.06527,0.1,0.15
20,0.11824,0.01896,0.1,0.15
20,0.33754,0.00727,0.1,0.15
20,0.27504,0.00335,0.1,0.15
20,0.03929,0.03821,0.1,0.15
20,0.1018,0.07999,0.1,0.15
20,0.20411,0.1365,0.1,0.15
20,0.1642,0.00745,0.1,0.15
20,0.20635,0.00823,0.1,0.15
20,0.0019,0.00409,0.1,0.15
20,0.84796,0.0328,0.1,0.15
20,0.07277,0.00079,0.1,0.15
20,0.55406,0.28493,0.1,0.15
20,0.26083,0.0276,0.1,0.15
20,0.05545,0.03007,0.1,0.15
20,0.36113,0.00164,0.1,0.15
20,0.00361,0.04648,0.1,0.15
20,0.0025,0.00871,0.1,0.15
20,0.00045,0.65615,0.1,0.15
20,0.0887,0.14443,0.1,0.15
20,0.03254,0.176,0.1,0.15
20,0.03861,0.2634,0.1,0.15
20,0.00156,0.0071,0.1,0.15
20,0.67276,0.01622,0.1,0.15
20,0.04074,0.00339,0.1,0.15
20,0.94095,0.32021,0.1,0.15
20,0.15602,0.33581,0.1,0.15
20,0.01333,0.00155,0.1,0.15
20,0.39123,0.13559,0.1,0.15
20,0.01121,0.00068,0.1,0.15
20,0.02978,0.15428,0.1,0.15
20,0.02401,0.02849,0.1,0.15
20,0.56075,0.02179,0.1,0.15
20,0.03709,0.39723,0.1,0.15
20,0.11088,0.00035,0.1,0.15
20,0.41955,0.00619,0.1,0.15
20,0.44701,0.00966,0.1,0.15
20,0.05296,0.01493,0.1,0.15
20,0.09066,0.06602,0.1,0.15
20,0.01661,0.01085,0.1,0.15
20,0.45413,0.21246,0.1,0.15
20,0.02918,0.06284,0.1,0.15
20,0.14183,0.00432,0.1,0.15
20,0.26141,0.01599,0.1,0.15
20,0.01029,0.00088,0.1,0.15
20,0.92114,0.03183,0.1,0.15
20,0.00254,0.01219,0.1,0.15
20,0.41529,0.21212,0.1,0.15
20,0.08603,0.05765,0.1,0.15
20,0.94993,0.06849,0.1,0.15
20,0.64305,0.26538,0.1,0.15
20,0.65212,0.00038,0.1,0.15
20,0.05061,0.07982,0.1,0.15
20,0.61592,0.0809,0.1,0.15
20,0.04173,0.04486,0.1,0.15
20,0.72894,0.00725,0.1,0.15
20,0.03468,0.57832,0.1,0.15
20,0.08553,0.0331,0.1,0.15
20,0.08685,0.00379,0.1,0.15
20,0.02744,0.24138,0.1,0.15
20,0.0068,0.73703,0.1,0.15
20,0.28843,0.23495,0.1,0.15
20,0.11121,0.27241,0.1,0.15
20,0.01428,0.04379,0.1,0.15
20,0.59502,0.0132,0.1,0.15
20,0.81989,0.04638,0.1,0.15
20,0.4389,0.00419,0.1,0.15
20,0.02042,0.12232,0.1,0.15
20,0.02269,0.06533,0.1,0.15
20,0.03675,0.00061,0.1,0.15
20,0.02622,0.0178,0.1,0.15
20,0.14268,0.58552,0.1,0.15
20,0.02831,0.06001,0.1,0.15
20,0.00098,0.03074,0.1,0.15
20,0.63979,0.09684,0.1,0.15
20,0.01256,0,0.1,0.15
20,0.75637,0.02069,0.1,0.15
20,0.75914,0.01032,0.1,0.15
20,0.01007,0.01198,0.1,0.15
20,0.54834,0.39787,0.1,0.15
20,0.68959,0.01832,0.1,0.15
20,0.13731,0.00695,0.1,0.15
20,0.38203,0.00207,0.1,0.15
20,0.00475,0.00583,0.1,0.15
20,0.09204,0.05588,0.1,0.15
20,0.20267,0.23128,0.1,0.15
20,0.00049,0.00132,0.1,0.15
20,0.86174,0.00357,0.1,0.15
20,0.00586,0.03893,0.1,0.15
20,0.00738,0.32815,0.1,0.15
20,0.06177,0.11841,0.1,0.15
20,0.04937,0.3564,0.1,0.15
20,0.11518,0.03295,0.1,0.15
20,0.01906,0.18754,0.1,0.15
20,0.55919,0.02116,0.1,0.15
20,0.00541,0.0047,0.1,0.15
20,0.08227,0.08415,0.1,0.15
20,0.02564,0.00326,0.1,0.15
20,0.09349,0.01211,0.1,0.15
20,0.03646,0.47584,0.1,0.15
20,0.55081,0.0483,0.1,0.15
20,0.30346,0.10821,0.1,0.15
20,0.00409,0.0069,0.1,0.15
20,0.00532,0.91642,0.1,0.15
20,0.21626,0.04577,0.1,0.15
20,0.0483,0.82111,0.1,0.15
20,0.09451,0.00514,0.1,0.15
20,0.03074,0.13969,0.1,0.15
20,0.44391,0.07922,0.1,0.15
20,0.00338,0.00743,0.1,0.15
20,0.18714,0.18518,0.1,0.15
20,0.06294,0.10747,0.1,0.15
20,0.30063,0.00578,0.1,0.15
20,0.02103,0.01133,0.1,0.15
20,0.07869,0.33992,0.1,0.15
20,0.63039,0.02483,0.1,0.15
20,0.04192,0.02858,0.1,0.15
20,0.98047,0.02791,0.1,0.15
20,0.15712,0.01531,0.1,0.15
20,0.00563,0.06853,0.1,0.15
20,0.10228,0.2683,0.1,0.15
20,0.08057,0.00662,0.1,0.15
20,0.46031,0.58799,0.1,0.15
20,0.0864,0.00095,0.1,0.15
20,0.03668,0.02053,0.1,0.15
20,0.05872,0.9972,0.1,0.15
20,0.05061,0.01029,0.1,0.15
20,0.16239,0.00859,0.1,0.15
20,0.6373,0.64296,0.1,0.15
20,0.03168,0.12143,0.1,0.15
20,0.09854,0.40792,0.1,0.15
20,0.83039,0.08348,0.1,0.15
20,0.46895,0.30315,0.1,0.15
20,0.4368,0.06932,0.1,0.15
20,0.04263,0.00312,0.1,0.15
20,0.28179,0.05869,0.1,0.15
20,0.79672,0.06823,0.1,0.15
20,0.314,0.04022,0.1,0.15
20,0.63416,0.22167,0.1,0.15
20,0.8551,0.01239,0.1,0.15
20,0.12462,0.02561,0.1,0.15
20,0.11859,0.06498,0.1,0.15
20,0.30321,0.65136,0.1,0.15
20,0.68743,0.03877,0.1,0.15
20,0.00762,0.0102,0.1,0.15
20,0.59647,0.19965,0.1,0.15
20,0.22642,0.00234,0.1,0.15
20,0.08135,0.09673,0.1,0.15
20,0.0186,0.0083,0.1,0.15
20,0.21218,0.13781,0.1,0.15
20,0.37003,0.03987,0.1,0.15
20,0.07278,0.02867,0.1,0.15
20,0.45384,0.00164,0.1,0.15
20,0.04955,0.01047,0.1,0.15
20,0.12827,0.07451,0.1,0.15
20,0.96323,0.03777,0.1,0.15
20,0.01104,0.05652,0.1,0.15
20,0.00564,0.90626,0.1,0.15
20,0.80521,0.02507,0.1,0.15
20,0.25195,0.08,0.1,0.15
20,0.02141,0.00527,0.1,0.15
20,0.30137,0.63483,0.1,0.15
20,0.61004,0.01942,0.1,0.15
20,0.76146,0.01106,0.1,0.15
20,0.00325,0.0091,0.1,0.15
20,0.82363,0.00238,0.1,0.15
20,0.14995,0.71801,0.1,0.15
20,0.33307,0.00046,0.1,0.15
20,0.69879,0.00972,0.1,0.15
20,0.89882,0.18559,0.1,0.15
20,0.0784,0.1592,0.1,0.15
20,0.85101,0.10804,0.1,0.15
20,0.3997,0.00018,0.1,0.15
20,0.03968,0.71696,0.1,0.15
20,0.42047,0.24858,0.1,0.15
20,0.04161,0.09619,0.1,0.15
20,0.02706,0.99914,0.1,0.15
20,0.39099,0.0217,0.1,0.15
20,0.31583,0.49296,0.1,0.15
20,0.59091,0.00414,0.1,0.15
20,0.00793,0.00179,0.1,0.15
20,0.011,0.14698,0.1,0.15
20,0.00205,0.04288,0.1,0.15
20,0.11817,0.25756,0.1,0.15
20,0.22015,0.00926,0.1,0.15
20,0.44509,0.05427,0.1,0.15
20,0.01901,0.01003,0.1,0.15
20,0.05637,0,0.1,0.15
20,0.26387,0.12629,0.1,0.15
20,0.00428,0.02826,0.1,0.15
20,0.02617,0.16718,0.1,0.15
20,0.00544,0.00265,0.1,0.15
20,0.05213,0.36953,0.1,0.15
20,0.17199,0.00887,0.1,0.15
20,0.66891,0.0248,0.1,0.15
20,0.02379,0.20708,0.1,0.15
20,0.37404,0.27953,0.1,0.15
20,0.00213,0.01967,0.1,0.15
20,0.02312,0.04605,0.1,0.15
20,0.46329,0.08894,0.1,0.15
20,0.08771,0.08309,0.1,0.15
20,0.3596,0.10691,0.1,0.15
20,0.0939,0.07049,0.1,0.15
20,0.02068,0.16739,0.1,0.15
20,0.23274,0.0623,0.1,0.15
20,0.15699,0.39745,0.1,0.15
20,0.86154,0.16018,0.1,0.15
20,0.40267,0.09182,0.1,0.15
20,0.28959,0.34785,0.1,0.15
20,0.39252,0.14514,0.1,0.15
20,0.87492,0.01973,0.1,0.15
20,0.13461,0.13537,0.1,0.15
20,0.01561,0.02622,0.1,0.15
20,0.11072,0.2155,0.1,0.15
20,0.06248,0.02865,0.1,0.15
20,0.10874,0.03751,0.1,0.15
20,0.97415,0.0881,0.1,0.15
20,0.37785,0.04128,0.1,0.15
20,0.1389,0.20919,0.1,0.15
20,0.41548,0.03499,0.1,0.15
20,0.37515,0.05448,0.1,0.15
20,0.19882,0.6232,0.1,0.15
20,0.27931,0.00378,0.1,0.15
20,0.29873,0.00063,0.1,0.15
20,0.38761,0.0302,0.1,0.15
20,0.44852,0.22979,0.1,0.15
20,0.00022,0.00197,0.1,0.15
20,0.12772,0.10864,0.1,0.15
20,0.2121,0.20537,0.1,0.15
20,0.07009,0.00494,0.1,0.15
20,0.23267,0.15246,0.1,0.15
20,0.60559,0.01052,0.1,0.15
20,0.05001,0.14506,0.1,0.15
20,0.1392,0.00786,0.1,0.15
20,0.27121,0.00828,0.1,0.15
20,0.02267,0.13753,0.1,0.15
20,0.20776,0.0199,0.1,0.15
20,0.36742,0.06088,0.1,0.15
20,0.01157,0.30709,0.1,0.15
20,0.00248,0.00158,0.1,0.15
20,0.43272,0.0524,0.1,0.15
20,0.04188,0.04709,0.1,0.15
20,0.87417,0.53576,0.1,0.15
20,0.64114,0.13891,0.1,0.15
20,0.98202,0.04939,0.1,0.15
20,0.03753,0.08911,0.1,0.15
20,0.72009,0.00093,0.1,0.15
20,0.04225,0.04433,0.1,0.15
20,0.01737,0.07156,0.1,0.15
20,0.14446,0.24771,0.1,0.15
20,0.40091,0.12122,0.1,0.15
20,0.26981,0.0039,0.1,0.15
20,0.01124,0.00013,0.1,0.15
20,0.02953,0.00047,0.1,0.15
20,0.69253,0.01963,0.1,0.15
20,0.23117,0.67658,0.1,0.15
20,0.01264,0.05565,0.1,0.15
20,0.4377,0.01541,0.1,0.15
20,0.86088,0.04537,0.1,0.15
20,0.24524,0.0155,0.1,0.15
20,0.0678,0.02433,0.1,0.15
20,0.05879,0.18756,0.1,0.15
20,0.08284,0.00643,0.1,0.15
20,0.00603,0.19504,0.1,0.15
20,0.02771,0.02252,0.1,0.15
20,0.00598,0.08445,0.1,0.15
20,0.06595,0.35467,0.1,0.15
20,0.00057,0.65105,0.1,0.15
20,0.34194,0.11487,0.1,0.15
20,0.02684,0.01088,0.1,0.15
20,0.04933,0.06187,0.1,0.15
20,0.1025,0.00242,0.1,0.15
20,0.05393,0.14987,0.1,0.15
20,0.01664,0.00839,0.1,0.15
20,0.00867,0.81184,0.1,0.15
20,0.04877,0.47342,0.1,0.15
20,0.83283,0.1966,0.1,0.15
20,0.01812,0.12718,0.1,0.15
20,0.56337,0.56127,0.1,0.15
20,0.54457,0.35462,0.1,0.15
20,0.10718,0.0448,0.1,0.15
20,0.54336,0.01285,0.1,0.15
20,0.15725,0.73759,0.1,0.15
20,0.04586,0.00141,0.1,0.15
20,0.63023,0.23839,0.1,0.15
20,0.15181,0.15312,0.1,0.15
20,0.00067,0.54539,0.1,0.15
20,0.00744,0.34077,0.1,0.15
20,0.23886,0.63529,0.1,0.15
20,0.01836,0.09934,0.1,0.15
20,0.00011,0.01236,0.1,0.15
20,0.28935,0.35219,0.1,0.15
20,0.00961,0.23704,0.1,0.15
20,0.08425,0.00454,0.1,0.15
20,0.06034,0.80862,0.1,0.15
20,0.11248,0.63314,0.1,0.15
20,0.00054,0.18464,0.1,0.15
20,0.15613,0.0364,0.1,0.15
20,0.00453,0.2334,0.1,0.15
20,0.10571,0.00413,0.1,0.15
20,0.27945,0.03036,0.1,0.15
20,0.2439,0.16084,0.1,0.15
20,0.63024,0.23318,0.1,0.15
20,0.00398,0.02066,0.1,0.15
20,0.07494,0.00054,0.1,0.15
20,0.12587,0.12733,0.1,0.15
20,0.17074,0.00995,0.1,0.15
20,0.01885,0.00649,0.1,0.15
20,0.02237,0.07931,0.1,0.15
20,0.0041,0.0067,0.1,0.15
20,0.00169,0.08032,0.1,0.15
20,0.28554,0.00123,0.1,0.15
20,0.01404,0.02196,0.1,0.15
20,0.04634,0.00155,0.1,0.15
20,0.12157,0.12117,0.1,0.15
20,0.01569,0.00231,0.1,0.15
20,0.67352,0.26649,0.1,0.15
20,0.20845,0.00079,0.1,0.15
20,0.02682,0.23076,0.1,0.15
20,0.61346,0.19227,0.1,0.15
20,0.36196,0.42601,0.1,0.15
20,0.31032,0.18668,0.1,0.15
20,0.11404,0.48629,0.1,0.15
20,0.01974,0.00699,0.1,0.15
20,0.38891,0.13559,0.1,0.15
20,0.0537,0.13165,0.1,0.15
20,0.58624,0.20549,0.1,0.15
20,0.31833,0.41314,0.1,0.15
20,0.31068,0.22091,0.1,0.15
20,0.02241,0.53377,0.1,0.15
20,0.53734,3e-05,0.1,0.15
20,0.11314,0.56128,0.1,0.15
20,0.01138,0.31652,0.1,0.15
20,0.38338,0.00014,0.1,0.15
20,0.97963,0.33914,0.1,0.15
20,0.14275,0.07743,0.1,0.15
20,0.94992,0.53303,0.1,0.15
20,0.19146,0,0.1,0.15
20,0.07894,0.00369,0.1,0.15
20,0.00291,0.01003,0.1,0.15
20,0.28965,0.0153,0.1,0.15
20,0.07349,0.17796,0.1,0.15
20,0.0146,0.1014,0.1,0.15
20,0.00471,0.25491,0.1,0.15
20,0.18453,0.00091,0.1,0.15
20,0.03944,0.21231,0.1,0.15
20,0.00167,0.56037,0.1,0.15
20,0.00789,0.02492,0.1,0.15
20,0.27963,0.16047,0.1,0.15
20,0.36712,0.06498,0.1,0.15
20,0.73584,0.0937,0.1,0.15
20,0.47913,0.00636,0.1,0.15
20,0.08242,0.00095,0.1,0.15
20,0.24499,0.00383,0.1,0.15
20,0.08089,0.71851,0.1,0.15
20,0.01914,0.04834,0.1,0.15
20,0.05657,0.01029,0.1,0.15
20,0.31764,0.07113,0.1,0.15
20,0.03516,0.06645,0.1,0.15
20,0.00535,0.00584,0.1,0.15
20,0.03329,0.01008,0.1,0.15
20,0.38516,0.02406,0.1,0.15
20,0.00485,0.07672,0.1,0.15
20,0.01676,0.00305,0.1,0.15
20,0.01052,0.0043,0.1,0.15
20,0.01273,0.3943,0.1,0.15
20,0.43449,0.00544,0.1,0.15
20,0.2173,0.62667,0.1,0.15
20,0.01218,0.65006,0.1,0.15
20,0.34669,0.11326,0.1,0.15
20,0.21719,0.14761,0.1,0.15
20,0.07244,0.33687,0.1,0.15
20,0.05448,0.0984,0.1,0.15
20,0.05079,0.00788,0.1,0.15
20,0.22108,0.00605,0.1,0.15
20,0.07985,0.60043,0.1,0.15
20,0.0106,0.01707,0.1,0.15
20,0.01244,0.73199,0.1,0.15
20,3e-04,0.0018,0.1,0.15
20,0.06618,0.3842,0.1,0.15
20,0.01091,0.03757,0.1,0.15
20,0.03868,0.0965,0.1,0.15
20,0.00917,0.04945,0.1,0.15
20,0.98146,0.01131,0.1,0.15
20,0.06008,0.16829,0.1,0.15
20,0.04844,0.14413,0.1,0.15
20,0.21788,0.01961,0.1,0.15
20,0.3744,0.16155,0.1,0.15
20,0.91352,0.01204,0.1,0.15
20,0.7258,0.09754,0.1,0.15
20,0.12019,0.08009,0.1,0.15
20,0.2047,0.00752,0.1,0.15
20,0.02701,0.16551,0.1,0.15
20,0.32755,0.08652,0.1,0.15
20,0.06837,0.00273,0.1,0.15
20,0.79122,0.00504,0.1,0.15
20,0.48282,0.25734,0.1,0.15
20,0.59229,0.0255,0.1,0.15
20,0.41868,0.23942,0.1,0.15
20,0.00209,0.03011,0.1,0.15
20,0.62836,0.00038,0.1,0.15
20,0.6717,0.00071,0.1,0.15
20,0.56002,0.05468,0.1,0.15
20,0.63698,0.03613,0.1,0.15
20,0.74991,0.00995,0.1,0.15
20,0.27856,0.08623,0.1,0.15
20,0.00586,0.6384,0.1,0.15
20,0.00259,0.13035,0.1,0.15
20,0.02443,0.00018,0.1,0.15
20,0.09316,0.07994,0.1,0.15
20,0.64091,0.07497,0.1,0.15
20,0.90927,0.23539,0.1,0.15
20,0.10426,0.00076,0.1,0.15
20,0.01348,0.00037,0.1,0.15
20,0.30679,0.00012,0.1,0.15
20,0.00208,0.14885,0.1,0.15
20,0.25079,0.01737,0.1,0.15
20,0.00108,0.81755,0.1,0.15
20,0.00381,0.00123,0.1,0.15
20,0.04563,0.4057,0.1,0.15
20,0.48049,0.06017,0.1,0.15
20,0.21216,0.01533,0.1,0.15
20,0.44435,0.09558,0.1,0.15
20,0.00148,0.00129,0.1,0.15
20,0.14554,0.00367,0.1,0.15
20,0.31727,0.12141,0.1,0.15
20,0.09287,0.11611,0.1,0.15
20,0.46673,0.71846,0.1,0.15
20,0.32765,0.00021,0.1,0.15
20,0.01183,0.0776,0.1,0.15
20,0.00334,0.03936,0.1,0.15
20,0.06312,0.07015,0.1,0.15
20,0.01971,0.00889,0.1,0.15
20,0.28255,0.00136,0.1,0.15
20,0.26054,0.00823,0.1,0.15
20,0.72036,0.01198,0.1,0.15
20,0.30897,0.00748,0.1,0.15
20,0.09772,0.18652,0.1,0.15
20,0.47931,2e-05,0.1,0.15
20,0.35549,0.47603,0.1,0.15
20,0.04597,0.34787,0.1,0.15
20,0.10445,0.85528,0.1,0.15
20,0.18475,0.01137,0.1,0.15
20,0.95614,0.00039,0.1,0.15
20,0.00964,0.16766,0.1,0.15
20,0.00395,0.15941,0.1,0.15
20,0.00018,0.41743,0.1,0.15
20,0.20251,0.01688,0.1,0.15
20,0.20432,0.07997,0.1,0.15
20,0.11533,0.05393,0.1,0.15
20,0.16322,0.0223,0.1,0.15
20,0.4302,0.4691,0.1,0.15
20,0.50201,0.03492,0.1,0.15
20,0.39699,0.01052,0.1,0.15
20,0.30773,0.72122,0.1,0.15
20,0.36938,0.22538,0.1,0.15
20,0.09252,9e-05,0.1,0.15
20,0.14227,0.00154,0.1,0.15
20,0.06104,0.00068,0.1,0.15
20,0.02586,0.25504,0.1,0.15
20,0.09165,0.12531,0.1,0.15
20,0.02785,1e-04,0.1,0.15
20,0.99685,0.13341,0.1,0.15
20,0.52551,0.01171,0.1,0.15
20,0.01003,0.21199,0.1,0.15
20,0.0013,0.08889,0.1,0.15
20,0.13715,0.03021,0.1,0.15
20,0.0182,0.13995,0.1,0.15
20,0.15403,0.07589,0.1,0.15
20,0.33432,0.32682,0.1,0.15
20,0.10154,0.00078,0.1,0.15
20,0.98428,0.00919,0.1,0.15
20,0.32208,0.0659,0.1,0.15
20,0.03359,0.00038,0.1,0.15
20,0.00034,0.00993,0.1,0.15
20,0.72215,0.01122,0.1,0.15
20,0.5569,0.04549,0.1,0.15
20,0.47404,0.00369,0.1,0.15
20,0.03895,1e-05,0.1,0.15
20,0.00839,0.03423,0.1,0.15
20,0.07394,0.34536,0.1,0.15
20,0.68688,0.39294,0.1,0.15
20,0.37705,0.41164,0.1,0.15
20,0.75813,0.0248,0.1,0.15
20,0.08786,0.00969,0.1,0.15
20,0.01472,0.05864,0.1,0.15
20,0.23506,0.00555,0.1,0.15
20,0.12519,0.02513,0.1,0.15
20,0.01078,0.00023,0.1,0.15
20,0.1526,0.00178,0.1,0.15
20,0.14268,0.00106,0.1,0.15
20,0.0284,0.13494,0.1,0.15
20,0.01929,0.01602,0.1,0.15
20,0.6694,0.03081,0.1,0.15
20,0.06495,0.00259,0.1,0.15
20,0.01203,0.08884,0.1,0.15
20,0.00939,0.57078,0.1,0.15
20,0.00919,0.01055,0.1,0.15
20,0.8998,0.14763,0.1,0.15
20,0.27605,0.02163,0.1,0.15
20,0.20524,0.01981,0.1,0.15
20,0.04007,0.13042,0.1,0.15
20,0.05847,0.00532,0.1,0.15
20,0.00255,0.03004,0.1,0.15
20,0.12262,0.35388,0.1,0.15
20,0.96956,0.06291,0.1,0.15
20,0.36303,0.22118,0.1,0.15
20,0.50012,0.17643,0.1,0.15
20,0.22923,0.00023,0.1,0.15
20,0.02218,0.00666,0.1,0.15
20,0.01738,0.10281,0.1,0.15
20,0.73888,0.57628,0.1,0.15
20,0.28069,0.05972,0.1,0.15
20,0.00126,0.99526,0.1,0.15
20,0.15341,0.01418,0.1,0.15
20,0.19748,0.16087,0.1,0.15
20,0.46152,0.50112,0.1,0.15
20,0.17592,0.00657,0.1,0.15
20,0.12264,0.03933,0.1,0.15
20,0.02017,0.00086,0.1,0.15
20,0.02977,0.03923,0.1,0.15
20,0.42757,0.19792,0.1,0.15
20,0.23264,0.08924,0.1,0.15
20,0.1101,0.05894,0.1,0.15
20,0.09686,0.10107,0.1,0.15
20,0.10769,0.28513,0.1,0.15
20,0.17858,0.13826,0.1,0.15
20,0.31612,0.00744,0.1,0.15
20,0.37906,0.02996,0.1,0.15
20,0.03149,0.00894,0.1,0.15
20,0.38293,0.35249,0.1,0.15
20,0.0621,0.00017,0.1,0.15
20,0.0262,0.03125,0.1,0.15
20,0.09856,0.01609,0.1,0.15
20,0.02979,0.18196,0.1,0.15
20,0.00688,0.8133,0.1,0.15
20,0.23409,0.02391,0.1,0.15
20,5e-04,0.00427,0.1,0.15
20,0.17091,0.00082,0.1,0.15
20,0.05451,0.08647,0.1,0.15
20,0.00412,0.00837,0.1,0.15
20,0.05693,0.33152,0.1,0.15
20,0.0406,0.01776,0.1,0.15
20,0.00976,0.00684,0.1,0.15
20,0.01715,0.41223,0.1,0.15
20,0.14945,0.00576,0.1,0.15
20,0.72914,0.55955,0.1,0.15
20,0.54886,0.00264,0.1,0.15
20,0.21599,0.38877,0.1,0.15
20,0.02722,0.46308,0.1,0.15
20,0.04148,0.0496,0.1,0.15
20,0.49339,0.00247,0.1,0.15
20,0.00573,0.41169,0.1,0.15
20,0.28671,0.1028,0.1,0.15
20,0.2662,0.20281,0.1,0.15
20,0.04062,0.02038,0.1,0.15
20,0.08776,0.20736,0.1,0.15
20,0.00241,0.0211,0.1,0.15
20,0.08869,0.11669,0.1,0.15
20,0.71032,0.00637,0.1,0.15
20,0.02982,0.19759,0.1,0.15
20,0.34373,0.0418,0.1,0.15
20,0.42056,0.21971,0.1,0.15
20,0.00514,0.19506,0.1,0.15
20,0.54516,0.05678,0.1,0.15
20,0.06461,0.80064,0.1,0.15
20,0.77689,0.11492,0.1,0.15
20,0.26357,0.00455,0.1,0.15
20,0.29177,0.07861,0.1,0.15
20,0.03174,0.05639,0.1,0.15
20,0.79428,0.62572,0.1,0.15
20,0.02513,0.01829,0.1,0.15
20,0.38495,0.13122,0.1,0.15
20,0.0015,0.64271,0.1,0.15
20,0.01826,0.00027,0.1,0.15
20,0.43151,3e-05,0.1,0.15
20,0.01775,0.01149,0.1,0.15
20,0.0206,0.01282,0.1,0.15
20,0.08865,3e-05,0.1,0.15
20,0.00103,0.03482,0.1,0.15
20,0.82476,0.15152,0.1,0.15
20,0.35743,0.0216,0.1,0.15
20,0.02632,0.06245,0.1,0.15
20,0.40991,0.00824,0.1,0.15
20,0.29177,0.0345,0.1,0.15
20,0.00564,0.01065,0.1,0.15
20,0.05844,0.03413,0.1,0.15
20,0.63611,0.00093,0.1,0.15
20,0.96733,0.01444,0.1,0.15
20,0.23904,0.14379,0.1,0.15
20,0.00027,0.00485,0.1,0.15
20,0.97085,0.82095,0.1,0.15
20,0.24902,0.03995,0.1,0.15
20,0.48974,9e-04,0.1,0.15
20,0.0066,0.01054,0.1,0.15
20,5e-05,0.06729,0.1,0.15
20,0.02149,0.09875,0.1,0.15
20,0.08038,0.18761,0.1,0.15
20,0.62265,0.00141,0.1,0.15
20,0.11872,0.01755,0.1,0.15
20,0.06399,0.05409,0.1,0.15
20,0.08995,0.42793,0.1,0.15
20,0.02697,0.01312,0.1,0.15
20,0.1226,0.00915,0.1,0.15
20,0.42086,0.04815,0.1,0.15
20,0.15331,1e-05,0.1,0.15
20,0.02307,5e-05,0.1,0.15
20,0.03178,0.06833,0.1,0.15
20,0.8875,0.23097,0.1,0.15
20,0.30561,0.13086,0.1,0.15
20,0.41785,0.24323,0.1,0.15
20,6e-04,0.00044,0.1,0.15
20,0.04467,0.27899,0.1,0.15
20,0.03672,0.02118,0.1,0.15
20,0.38098,0.05172,0.1,0.15
20,0.25275,0.00575,0.1,0.15
20,0.02228,0.56265,0.1,0.15
20,0.11838,0.00293,0.1,0.15
20,0.80602,0.01036,0.1,0.15
20,0.0748,0.00286,0.1,0.15
20,0.34075,0.18824,0.1,0.15
20,0.30756,0.00019,0.1,0.15
20,0.05346,0.00194,0.1,0.15
20,0.00043,0.01506,0.1,0.15
20,0.10379,0.0616,0.1,0.15
20,0.69256,0.88953,0.1,0.15
20,0.83452,0.00126,0.1,0.15
20,0.01508,0.136,0.1,0.15
20,0.51794,0.00162,0.1,0.15
20,0.07507,0.17566,0.1,0.15
20,0.03943,0.00731,0.1,0.15
20,0.1099,0.64288,0.1,0.15
20,0.09226,0.12043,0.1,0.15
20,0.08503,0.16897,0.1,0.15
20,0.0137,0.05001,0.1,0.15
20,0.45223,0.01226,0.1,0.15
20,0.06811,0.03119,0.1,0.15
20,0.21507,0.12282,0.1,0.15
20,0.24458,0.25123,0.1,0.15
20,0.57581,0.00706,0.1,0.15
20,0.31692,0.00532,0.1,0.15
20,0.02302,0.02473,0.1,0.15
20,0.06587,0.12118,0.1,0.15
20,0.08168,0.03752,0.1,0.15
20,0.76915,0.18527,0.1,0.15
20,0.04464,0.81231,0.1,0.15
20,0.3444,0.01172,0.1,0.15
20,0.90139,0.00298,0.1,0.15
20,0.45487,0.05099,0.1,0.15
20,0.31681,0.19576,0.1,0.15
20,0.00359,0.0012,0.1,0.15
20,0.72942,0.00873,0.1,0.15
20,0.09787,0.15586,0.1,0.15
20,0.32055,0.02404,0.1,0.15
20,0.00398,0.17602,0.1,0.15
20,0.01345,0.02954,0.1,0.15
20,0.02417,0.04367,0.1,0.15
20,0.42182,0.90554,0.1,0.15
20,0.02667,0.0285,0.1,0.15
20,0.90511,0.00731,0.1,0.15
20,0.00287,0.00516,0.1,0.15
20,0.28827,0.0181,0.1,0.15
20,0.14284,0.53635,0.1,0.15
20,0.7942,0.05407,0.1,0.15
20,0.28387,0.44825,0.1,0.15
20,0.19697,0.00987,0.1,0.15
20,0.00192,0.00177,0.1,0.15
20,0.13401,0.30399,0.1,0.15
20,0.01558,0.04657,0.1,0.15
20,0.07399,0.08399,0.1,0.15
20,0.00603,0.27681,0.1,0.15
20,0.51984,0.00087,0.1,0.15
20,0.1005,0.03504,0.1,0.15
20,0.08675,0.27708,0.1,0.15
20,0.02342,0.11042,0.1,0.15
20,0.00938,0.28737,0.1,0.15
20,0.00314,0.00225,0.1,0.15
20,0.10339,0.20886,0.1,0.15
20,0.1933,0.09073,0.1,0.15
20,0.27598,0.62786,0.1,0.15
20,0.55809,0.01769,0.1,0.15
20,0.15942,0.07544,0.1,0.15
20,0.01393,0.02245,0.1,0.15
20,0.78644,0.06775,0.1,0.15
20,0.32008,0.01294,0.1,0.15
20,0.11118,0.02788,0.1,0.15
20,0.42232,0.19967,0.1,0.15
20,0.03857,0.00078,0.1,0.15
20,0.98178,0.01753,0.1,0.15
20,0.71892,0.01073,0.1,0.15
20,0.29399,0.00689,0.1,0.15
20,0.0829,0.00019,0.1,0.15
20,0.852,0.00711,0.1,0.15
